,v_0,v_1,y,Tau_inv_std,Bo_std,time
0,-0.27374825348428944,-0.3306892391835936,0,0.008829697024559154,0.9090308710732111,425
1,0.632015811510912,0.4877457785565158,0,0.008829697024559154,0.9090308710732111,425
2,-0.7567558342738099,-0.3428034041442751,1,0.008829697024559154,0.9090308710732111,425
3,0.5387704351902638,0.0449338476850647,0,0.008829697024559154,0.9090308710732111,425
0,-0.688130286360096,0.3797198550303922,0,0.008829697024559154,0.9090308710732111,426
1,0.8609249565754491,0.7302274793442909,1,0.008829697024559154,0.9090308710732111,426
2,-0.4717656991771897,-0.6520216399184178,1,0.008829697024559154,0.9090308710732111,426
3,-0.3689460430074758,0.2526032627309456,1,0.008829697024559154,0.9090308710732111,426
0,0.8491393268545671,-0.04062295830435625,1,0.008829697024559154,0.9090308710732111,427
1,0.9626609801431341,0.9971648392894257,0,0.008829697024559154,0.9090308710732111,427
2,-0.7323205065858898,0.49826881567527104,0,0.008829697024559154,0.9090308710732111,427
3,-0.9199645672489698,0.27153788180626814,1,0.008829697024559154,0.9090308710732111,427
0,0.8073211402136189,0.7920205539380061,0,0.008829697024559154,0.9090308710732111,428
1,0.179900219847122,0.9745467523349676,0,0.008829697024559154,0.9090308710732111,428
2,0.7032069964127778,-0.5823669729364318,0,0.008829697024559154,0.9090308710732111,428
3,0.533245710092694,-0.9343887251523835,1,0.008829697024559154,0.9090308710732111,428
0,-0.043682507507115664,-0.8433261454035237,1,0.008829697024559154,0.9090308710732111,429
1,-0.015317128513392841,-0.730828968840737,1,0.008829697024559154,0.9090308710732111,429
2,0.16528431321825066,-0.7681605615762055,0,0.008829697024559154,0.9090308710732111,429
3,0.29590131545027654,-0.521470172182434,0,0.008829697024559154,0.9090308710732111,429
0,-0.2930136867468982,-0.37307972682040247,0,0.008829697024559154,0.9090308710732111,430
1,-0.1819015080229549,0.6088515361751632,0,0.008829697024559154,0.9090308710732111,430
2,0.3663744928900059,-0.23779217747839754,1,0.008829697024559154,0.9090308710732111,430
3,0.8925385167412188,-0.6830910436492834,1,0.008829697024559154,0.9090308710732111,430
0,0.86642334117497,0.5881887427838914,0,0.008829697024559154,0.9090308710732111,431
1,-0.3932086350775743,-0.6580751718597424,0,0.008829697024559154,0.9090308710732111,431
2,0.6412438215112521,-0.0303219270136581,0,0.008829697024559154,0.9090308710732111,431
3,0.7834790416712307,0.6192327778921267,0,0.008829697024559154,0.9090308710732111,431
0,-0.5258493953362475,0.49509856679297526,0,0.008829697024559154,0.9090308710732111,432
1,-0.34270151648302893,-0.778071321660496,1,0.008829697024559154,0.9090308710732111,432
2,-0.21260041499351812,0.07533346347085512,1,0.008829697024559154,0.9090308710732111,432
3,0.2847993542822582,-0.5096231684444452,1,0.008829697024559154,0.9090308710732111,432
0,0.07641960628645639,-0.1957345163733928,0,0.008829697024559154,0.9090308710732111,433
1,0.6491268976291427,0.3679668590832639,0,0.008829697024559154,0.9090308710732111,433
2,-0.4209465563703336,0.4459552774908968,0,0.008829697024559154,0.9090308710732111,433
3,-0.8584387996522191,0.735953096472598,0,0.008829697024559154,0.9090308710732111,433
0,-0.668777835040363,0.9671507342051751,0,0.008829697024559154,0.9090308710732111,434
1,0.6879625054284131,-0.6034293468878695,1,0.008829697024559154,0.9090308710732111,434
2,-0.1557063340621565,0.16338499909863158,1,0.008829697024559154,0.9090308710732111,434
3,-0.09260484447842998,0.22433875393459557,0,0.008829697024559154,0.9090308710732111,434
0,0.17971471870964062,0.6835770642094923,0,0.008829697024559154,0.9090308710732111,435
1,-0.9016940245034348,0.8164545802088861,0,0.008829697024559154,0.9090308710732111,435
2,0.45785676366075867,-0.4903301037725938,1,0.008829697024559154,0.9090308710732111,435
3,-0.30042224287538866,0.11780616178353265,0,0.008829697024559154,0.9090308710732111,435
0,-0.6562827285762969,0.9302916570928785,0,0.008829697024559154,0.9090308710732111,436
1,0.6946790284649929,-0.2040098407586315,1,0.008829697024559154,0.9090308710732111,436
2,0.2322949963732468,0.25807816386601856,1,0.008829697024559154,0.9090308710732111,436
3,-0.6942853664548521,-0.6499700891225226,1,0.008829697024559154,0.9090308710732111,436
0,0.9422779684407976,-0.20740936871992677,1,0.008829697024559154,0.9090308710732111,437
1,-0.9670240293185199,0.4385209374809682,0,0.008829697024559154,0.9090308710732111,437
2,0.6258854163242102,0.6831891999755597,1,0.008829697024559154,0.9090308710732111,437
3,-0.36069471831263056,-0.5462729390552332,1,0.008829697024559154,0.9090308710732111,437
0,-0.21064765159747467,-0.603586717725624,1,0.008829697024559154,0.9090308710732111,438
1,-0.4903378683849422,0.6170906951193214,0,0.008829697024559154,0.9090308710732111,438
2,0.5920303327765339,-0.12726338045540553,0,0.008829697024559154,0.9090308710732111,438
3,0.7786888254184987,-0.47544922030652836,0,0.008829697024559154,0.9090308710732111,438
0,0.4021297179252039,0.8533946160981456,0,0.008829697024559154,0.9090308710732111,439
1,-0.8744048790276138,0.14084973816313928,0,0.008829697024559154,0.9090308710732111,439
2,0.1943101166609238,-0.483823170716869,0,0.008829697024559154,0.9090308710732111,439
3,0.3819300916877264,-0.6369221570532102,1,0.008829697024559154,0.9090308710732111,439
0,0.6787220948808079,0.6425899301508595,0,0.008829697024559154,0.9090308710732111,440
1,0.28441432959124624,0.33444523664128356,0,0.008829697024559154,0.9090308710732111,440
2,-0.9217201888086299,-0.8686552232021101,0,0.008829697024559154,0.9090308710732111,440
3,-0.44699871991300233,-0.3672789929559197,0,0.008829697024559154,0.9090308710732111,440
0,0.2865229224099457,-0.8687082281556548,1,0.008829697024559154,0.9090308710732111,441
1,-0.985545827977216,-0.39853037328253227,1,0.008829697024559154,0.9090308710732111,441
2,0.3810322989091395,0.9259127121742945,0,0.008829697024559154,0.9090308710732111,441
3,-0.9687999805065217,0.5163564015096478,0,0.008829697024559154,0.9090308710732111,441
0,0.532819997900041,-0.17185603423742468,1,0.008829697024559154,0.9090308710732111,442
1,0.6496905410099874,-0.9022996755325738,1,0.008829697024559154,0.9090308710732111,442
2,0.49106632982250265,0.9876052136591806,0,0.008829697024559154,0.9090308710732111,442
3,-0.4410918369357655,0.6696415650173744,0,0.008829697024559154,0.9090308710732111,442
0,-0.3728998371164334,-0.16228378394448018,1,0.008829697024559154,0.9090308710732111,443
1,0.9815491712989501,-0.7658258297648415,1,0.008829697024559154,0.9090308710732111,443
2,0.0584589732015699,-0.46231296842734837,1,0.008829697024559154,0.9090308710732111,443
3,0.2897867533631968,-0.6284524812051135,1,0.008829697024559154,0.9090308710732111,443
0,0.15311239089627615,0.6269046170876005,0,0.008829697024559154,0.9090308710732111,444
1,0.8646355085802695,0.5182387994401347,1,0.008829697024559154,0.9090308710732111,444
2,-0.6951610066461051,-0.7407649528357889,1,0.008829697024559154,0.9090308710732111,444
3,0.5684270541145842,0.3069385019253157,0,0.008829697024559154,0.9090308710732111,444
0,0.11726173681889307,0.07326234486114336,0,0.008829697024559154,0.9090308710732111,445
1,0.621658345062752,-0.08080323168875836,1,0.008829697024559154,0.9090308710732111,445
2,0.9448494305427608,0.35221982847293054,0,0.008829697024559154,0.9090308710732111,445
3,0.6263534770828381,0.3721723154344727,0,0.008829697024559154,0.9090308710732111,445
0,0.5608337176542959,0.26448502951743236,1,0.008829697024559154,0.9090308710732111,446
1,0.6085888307760019,0.5282792123768489,1,0.008829697024559154,0.9090308710732111,446
2,-0.3228495982994053,0.4886760440195459,1,0.008829697024559154,0.9090308710732111,446
3,0.864626629583467,0.8322762891683841,0,0.008829697024559154,0.9090308710732111,446
0,0.5459768832229079,0.32626359231940527,1,0.008829697024559154,0.9090308710732111,447
1,0.07898353969517613,-0.4953544488298396,0,0.008829697024559154,0.9090308710732111,447
2,-0.13665238762515974,-0.3948842287110075,1,0.008829697024559154,0.9090308710732111,447
3,0.7743108477069729,0.20111596790798192,1,0.008829697024559154,0.9090308710732111,447
0,0.7728573726512962,-0.14644598776757944,1,0.008829697024559154,0.9090308710732111,448
1,0.7993771448396474,0.7595265156124442,0,0.008829697024559154,0.9090308710732111,448
2,-0.8448358865198304,-0.12765945181214167,0,0.008829697024559154,0.9090308710732111,448
3,-0.9355724908695497,-0.07203762093267363,0,0.008829697024559154,0.9090308710732111,448
0,0.800022069014477,0.048017106996659065,1,0.008829697024559154,0.9090308710732111,449
1,0.774903243475908,0.7003125425008132,0,0.008829697024559154,0.9090308710732111,449
2,0.025211540232284113,-0.6406016911447003,0,0.008829697024559154,0.9090308710732111,449
3,0.7771006725982414,0.025143840982122523,0,0.008829697024559154,0.9090308710732111,449
