,B_0,B_1
0,0.0,0.0
1,-0.005875092303839202,-0.004367220324499821
2,-0.011744571480323596,-0.008779310978592747
3,-0.017609572958814823,-0.01323441015228144
4,-0.02346841908619124,-0.01773277263084827
5,-0.02932195511797009,-0.02227252602571622
6,-0.03516947167485729,-0.0268543630803329
7,-0.04101132255168127,-0.0314764671148669
8,-0.04684759011641482,-0.036138199958570094
9,-0.05267749878002037,-0.04083942096365567
10,-0.05850148886511419,-0.04557908289556051
11,-0.06431983122153795,-0.05035602704807529
12,-0.0701317476659089,-0.055170321784336784
13,-0.07593782348848832,-0.06002034372012954
14,-0.08173711437646813,-0.0649053290136754
15,-0.08753024636228668,-0.06982499286638794
16,-0.09331702096900518,-0.07477830139210456
17,-0.09909698446515347,-0.07976516636572262
18,-0.10487087572307763,-0.08478271731863152
19,-0.11063782920914977,-0.08983182342184798
20,-0.11639795906640571,-0.09491165156589038
21,-0.12215128787523677,-0.10002038269769647
22,-0.12789716213086555,-0.10515697330354917
23,-0.13363635368833626,-0.11032277279655717
24,-0.13936860776487792,-0.11551360104318503
25,-0.14509337350438412,-0.12073138492538699
26,-0.15081088125915998,-0.12597349068392522
27,-0.15652107899806644,-0.1312395460828606
28,-0.16222384969503878,-0.13652872905541696
29,-0.16791848049355051,-0.1418405996889872
30,-0.17360665269725017,-0.14717214826951952
31,-0.1792863906812996,-0.15252535860329938
32,-0.1849570863483726,-0.15789723198726247
33,-0.19062081716617751,-0.16328731852585948
34,-0.1962763348501707,-0.16869486410954165
35,-0.20192340785289398,-0.17411847929293353
36,-0.2075624329649215,-0.1795576943481575
37,-0.21319296441914792,-0.18501110134185106
38,-0.2188144665622861,-0.19047776662816449
39,-0.2244272801247753,-0.195956971238443
40,-0.23003116307071114,-0.20144709237424796
41,-0.23562647619015176,-0.20694779464732097
42,-0.2412124338823718,-0.2124573357796417
43,-0.24678929005982264,-0.21797555320487144
44,-0.2523564462617982,-0.2235010269054808
45,-0.25791411455112523,-0.22903214204777878
46,-0.26346184875641776,-0.23456899773565942
47,-0.26900005157731766,-0.24010957503119834
48,-0.27452793634447237,-0.24565334529125915
49,-0.28004587242608026,-0.25119897508085876
50,-0.2855536554405851,-0.25674531682727886
51,-0.2910504572110244,-0.26229168205474807
52,-0.2965364218994373,-0.2678367443884988
53,-0.30201205623234206,-0.2733798355983742
54,-0.30747593990775557,-0.2789193665201717
55,-0.31292905034755236,-0.2844545834576052
56,-0.31837063087696305,-0.2899841177932977
57,-0.32380077990388867,-0.2955071368969535
58,-0.32921889119868697,-0.301022628585745
59,-0.3346250725269513,-0.3065292639773721
60,-0.3400185707884671,-0.31202678805710715
61,-0.3454001408991696,-0.3175127710985114
62,-0.35076814301286774,-0.3229870979096227
63,-0.35612410137758055,-0.328448127603698
64,-0.36146697589028565,-0.333895503392455
65,-0.3667961639223871,-0.3393273844679608
