,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.014266484102618354,0.008732994268912275,0.011791561432460629,-0.0010194512177630899,0.011908934776141411,0.021328241210242016,0.024420495523866048,0.013075654916970603,-0.01595822159599858,-0.003961174522884026,-0.0037314835034941707,-0.008640910230215848,0.013600412039220355,0.018048705104867446,-0.020313667293586857,0.017423036428921845
2,0.028642049113693946,0.017639679328821406,0.024474610327460233,-0.0020857584071978796,0.024150534835531534,0.043273155913204686,0.049026408369422514,0.02668660851656257,-0.03206591390312563,-0.007536297364644895,-0.0078115537176324246,-0.01727456802333094,0.02699559433127341,0.03617542229072135,-0.040090505323197245,0.03524527403313171
3,0.0431212253512952,0.02670974664459147,0.03805452658404018,-0.003199548925929996,0.03670604960445212,0.0658290240879782,0.07379805127638916,0.04082080680022515,-0.048315520366072895,-0.010724083074446167,-0.01224394435418752,-0.025899316514925053,0.04018224950471938,0.054372463419460004,-0.05931911383529753,0.05345758113320276
4,0.05769603679260141,0.03593524258404729,0.05253685855282564,-0.004361292376642789,0.04955592860332225,0.0889896420275913,0.09871279909946873,0.055465360999526925,-0.06469860481100242,-0.013525557970686108,-0.017031445279376056,-0.03451639823298336,0.05315749389884372,0.0726335328195975,-0.0779878407718464,0.072051015882177
5,0.07235923511822706,0.04530629096091937,0.06792671391506211,-0.0055716430420244545,0.0626802808975917,0.11274930433477692,0.1237485744917377,0.07060793081325833,-0.08120569263461574,-0.015941134804018264,-0.022176935133887188,-0.04312359383049513,0.06591864962345251,0.0909514616515048,-0.09608664265954969,0.09101490413300817
6,0.08710369447262992,0.054812920807724375,0.0842280695085762,-0.006831332404271306,0.07606015791817633,0.1371007627270857,0.14888274214863073,0.0862339781409931,-0.09782753320375137,-0.017972113812951385,-0.027682965866906217,-0.05172038513822519,0.07846377881380873,0.1093190275421605,-0.11360556010039535,0.11033971518432617
7,0.10192179484768096,0.06444505578182025,0.10144520871031393,-0.008141114873923272,0.08967601949371051,0.16203816839853413,0.17409236302445885,0.10233061545041422,-0.11455480938902418,-0.019619815141646235,-0.033551250213930794,-0.06030567010882659,0.09079052873966198,0.1277290539442395,-0.1305352126433874,0.13001411267569418
8,0.11680571160115755,0.07419168078902441,0.11958122976056984,-0.009500772897402643,0.10350929207323811,0.18755372172950002,0.19935413291702053,0.11888335717443721,-0.13137736731953187,-0.020885884620805872,-0.039783818162834717,-0.06887814325676078,0.10289789169975128,0.14617383695533226,-0.14686677644339485,0.1500269961482632
9,0.13174787271597643,0.0840417758774775,0.13863860161663233,-0.010911301777919435,0.1175398613425126,0.21363950164370893,0.2246441945753479,0.1358774635619605,-0.1482850410577249,-0.021772977202924815,-0.04638221497840189,-0.07743626713650353,0.11478399790748828,0.16464588334749553,-0.16259200884053193,0.1703667490316687
10,0.14673986023799485,0.09398452074544739,0.15861968162566864,-0.0123728953656575,0.13174957683599153,0.24028830489692643,0.24993802316474656,0.1532988893268984,-0.16526858834051883,-0.022283663014944333,-0.05334735054918993,-0.08597814505357959,0.12644852530666761,0.1831377760838897,-0.17770330726726713,0.19102234083076564
11,0.16177349598894195,0.10400775205106802,0.17952573588523535,-0.01388586459377289,0.14611942846811354,0.267491926173109,0.27521245151669205,0.17113146235669663,-0.1823158604852485,-0.02242071741645013,-0.060680585944422494,-0.09450241929599412,0.1378905525914692,0.20164105578628466,-0.19219352352087982,0.21198056687196476
12,0.1768405636623493,0.11409963580685784,0.20135745047257725,-0.01545055112826993,0.16063048373314326,0.29524092750860786,0.30044179917355396,0.18936045453513184,-0.19941696070512027,-0.022187409929196766,-0.06838202109328195,-0.10300558806956672,0.14911009404500208,0.22014829515785728,-0.2060556104738076,0.23322955898065723
13,0.19193250921482094,0.12424811329456484,0.22411436571725618,-0.01706671603379145,0.17526538478713427,0.32352707709025497,0.3256015555295513,0.20796979909006474,-0.21656048875116796,-0.021587795018669254,-0.0764525449668938,-0.11148673624855548,0.16010656118544486,0.23865195916754156,-0.21928424546886705,0.25475598672586064
14,0.20704015258964342,0.13444111048866283,0.24779647655141135,-0.01873496127316915,0.19000508207378164,0.3523407645429608,0.3506660729158877,0.22694360584970186,-0.2337356208727056,-0.020625926182437526,-0.0848920523432446,-0.11994245152361521,0.17088085806978115,0.25714293084845896,-0.2318731509837384,0.27654722148414046
15,0.2221547635712508,0.14466593404563363,0.27240220685193695,-0.020454898124120657,0.2048318546639516,0.38167258249316793,0.375610729760139,0.24626601041957363,-0.25093070943587137,-0.01930620627938795,-0.09370029647660871,-0.12836966229651453,0.1814329855570449,0.2756136582177384,-0.2438184063856661,0.29858907233774423
16,0.23726801676344786,0.15491004609392584,0.2979294645171837,-0.022227138366594013,0.21972782489627096,0.41151234656706315,0.4004096828451198,0.26592000411159733,-0.26813382920284623,-0.017633422370073037,-0.10287689273158662,-0.13676500049793477,0.19176434536396214,0.2940555481845304,-0.2551148806871373,0.32086795422365433
