,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_7
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.02531733407154446,-0.0177638014175929,0.016196966405997215,0.009777982890485593,-0.002849484622672982,-0.020827827350280215,-0.003842256620538942,-0.008225912505513744
2,-0.05062003616634936,-0.0357696973417333,0.03280793376233715,0.018834088167012597,-0.0061155153350827,-0.04126512777163582,-0.008157160817375164,-0.01690646584268496
3,-0.0758922108992921,-0.054005376970999525,0.04983042444003949,0.02715816051748532,-0.00980087757288628,-0.06130515007299753,-0.012947031009106658,-0.02602537025852092
4,-0.10111880810352236,-0.07245959665071597,0.06726038025394032,0.03473993322102609,-0.013906367254450824,-0.08094251942304576,-0.018213441995854618,-0.035565920047305966
5,-0.12628419765302223,-0.09112015039024776,0.08509442696142178,0.041570929855333505,-0.01843414161666007,-0.10017034777896283,-0.023957353671874904,-0.045511996690900336
6,-0.15137194002432675,-0.10997409295469199,0.10332764380507353,0.0476424663075985,-0.023384856145651944,-0.11898386455778187,-0.03017960571327527,-0.05584771535739819
7,-0.17636681622762374,-0.12900855922321044,0.12195557298938631,0.052946727196272025,-0.028759180439017262,-0.1373772530657782,-0.036879969962253734,-0.06655604182715269
8,-0.20125192977949746,-0.14821042204346066,0.1409731159469073,0.05747837518131593,-0.034557249986937655,-0.15534644954483556,-0.04405690758123404,-0.077621031630426
9,-0.22601166759713398,-0.16756511247921613,0.16037379392808482,0.06123137975164461,-0.04077819687104617,-0.17288667378814493,-0.05170957636026263,-0.08902633145937155
10,-0.25062917124261586,-0.18705925685182187,0.18015248194652822,0.06420060701102415,-0.047421616278264134,-0.189994586455549,-0.05983550263450721,-0.10075552427495937
11,-0.27508831257243016,-0.20667726352136778,0.2003020030178405,0.06638153922713586,-0.05448615708655696,-0.20666620369648525,-0.06843194701538469,-0.11279324101802901
12,-0.29937249500404883,-0.22640546818689236,0.22081594400266702,0.0677719668324328,-0.06196983928541888,-0.22289914048014303,-0.0774957575373052,-0.125122654943441
13,-0.323465505299092,-0.24622779910192125,0.24168672944935066,0.06836899685161413,-0.06987031087105106,-0.23868975547613402,-0.08702281193892447,-0.13772882029849587
14,-0.34735039760002073,-0.2661297419707125,0.2629069054176133,0.06817133176667611,-0.07818452601317588,-0.2540373423401254,-0.09700843736722509,-0.15059544260998292
15,-0.3710107663595088,-0.2860944903115228,0.2844687000454238,0.06717826778449609,-0.08690959238249846,-0.26893910273859456,-0.10744735488316626,-0.16370815262082683
16,-0.39443000543780427,-0.3061065586899784,0.30636365421261147,0.06538982465176635,-0.09604156484855358,-0.28339435319817285,-0.11833351096143452,-0.17705075906268952
17,-0.41759141273908496,-0.32614981847921154,0.3285830951591767,0.0628069538631808,-0.10557554716472889,-0.2974019391386058,-0.12966098180127572,-0.19060977477321828
18,-0.44047838288496965,-0.34620815165820573,0.35111882124205607,0.05943213341199782,-0.1155071776811184,-0.3109615405319075,-0.14142217145428182,-0.20436937010595724
19,-0.46307522214821883,-0.36626470060563865,0.37396125478797926,0.05526711180469368,-0.1258314788399616,-0.32407369973346434,-0.15361033115573108,-0.21831680672518639
20,-0.48536451021696436,-0.38630288196037355,0.39710105293564535,0.05031568899173422,-0.13654184887535264,-0.33673765858869764,-0.16621683255424058,-0.232436945192521
21,-0.5073306007201372,-0.40630574938132713,0.4205291607021244,0.04458229974647332,-0.1476320686828732,-0.34895618445757126,-0.17923286829102958,-0.2467167100912091
22,-0.5289570369421499,-0.4262564059278653,0.4442347118232003,0.0380715677363197,-0.15909491448125468,-0.36072930294555716,-0.19264985969493287,-0.2611430780203361
23,-0.550228375822226,-0.44613851453238185,0.46820855603946643,0.030789097681257704,-0.1709239851890903,-0.37205843880803124,-0.20645811011636184,-0.2757034659484061
24,-0.5711270848238712,-0.4659341731983909,0.49244072036590014,0.022742178235154897,-0.18311023771567858,-0.3829471887959097,-0.2206474107393177,-0.29038510192290445
25,-0.5916386083780063,-0.4856266502803085,0.5169198198028591,0.01393698110336472,-0.19564566870792305,-0.3933970427124751,-0.23520774247005938,-0.30517619487322634
26,-0.6117472138024476,-0.5051991766865347,0.5416363306676937,0.004381934745176119,-0.20852151888165504,-0.4034113972447595,-0.2501275529834841,-0.32006550662536615
27,-0.6314376066297323,-0.5246346122683954,0.5665792536631752,-0.005913576673955756,-0.22172807764695024,-0.41299390744073783,-0.265396148016509,-0.3350415483133462
28,-0.6506938878034716,-0.5439158669873845,0.5917379620476595,-0.016941654767293368,-0.23525528447433258,-0.4221481761470782,-0.28100155849896735,-0.3500940397299581
29,-0.6695015225407039,-0.5630264701626376,0.6171017396693197,-0.02869072182799104,-0.24909295132343107,-0.4308784155164367,-0.2969315813493465,-0.36521271069687344
30,-0.687845032077429,-0.5819494107451251,0.6426595368942877,-0.04115110020345458,-0.263229994198781,-0.43918910003426115,-0.3131745184230581,-0.3803881458659426
31,-0.7057111598425654,-0.600668215783638,0.6684004252167682,-0.05431116102233524,-0.2776552468345432,-0.44708518620220294,-0.3297176635880341,-0.3956108055694243
32,-0.7230845670213366,-0.6191667179975239,0.694313957319212,-0.06815882027186881,-0.2923569877707987,-0.4545721172379893,-0.3465477889878299,-0.41087238360918144
33,-0.7399513830945068,-0.6374286960835042,0.7203883773904997,-0.08268203505584037,-0.30732220840953733,-0.4616556682554189,-0.3636521872264292,-0.4261640297805005
34,-0.7562980287498391,-0.6554378763452883,0.7466133407860175,-0.09786730536698196,-0.32253878396013114,-0.4683416297045815,-0.3810176367088737,-0.4414786812363367
35,-0.772111482054922,-0.6731788968593075,0.7729778659082491,-0.1137013414661916,-0.33799337134059404,-0.4746358687081429,-0.39863051984027864,-0.45680886882789107
36,-0.7873781037096244,-0.690636443687626,0.7994705536038247,-0.13016985118519386,-0.35367230595429955,-0.48054567387934943,-0.4164776829700779,-0.4721477892189667
37,-0.8020851755559049,-0.7077953462864219,0.8260813562540662,-0.1472582579263253,-0.3695617984853974,-0.48607790564565834,-0.434544637908306,-0.4874894327682171
38,-0.8162206299891244,-0.7246407873720079,0.8527987583501137,-0.16495128941302561,-0.3856468729504665,-0.49123941504690416,-0.45281863939572164,-0.5028277650624662
39,-0.8297723144692286,-0.7411583785487741,0.8796125038720441,-0.18323389196155282,-0.4019131976437896,-0.4960379918109461,-0.4712853868646135,-0.5181581348488609
40,-0.8427285852662996,-0.7573341225954817,0.9065117172345936,-0.20208962205275305,-0.4183455213737399,-0.5004809264817216,-0.4899309487559005,-0.5334754066581533
41,-0.8550779797107508,-0.7731549532095738,0.9334858549089761,-0.22150257273180407,-0.43492812032949685,-0.5045768206072414,-0.5087419559945484,-0.5487747155438338
42,-0.866809631882683,-0.7886071542109361,0.9605251689159211,-0.24145595846756973,-0.4516455896531686,-0.5083327901795567,-0.5277043101102601,-0.5640534738730723
43,-0.8779131674957927,-0.8036779455605092,0.9876184479112603,-0.2619326176699335,-0.4684812566637127,-0.5117577485759872,-0.5468049198905814,-0.5793079490070037
44,-0.888378597177482,-0.8183556335979728,1.0147560555983661,-0.28291530610395343,-0.48541887521594085,-0.5148606934688367,-0.5660293894788514,-0.59453536747252
45,-0.8981963524166394,-0.8326280429038324,1.0419279691897314,-0.304386796109395,-0.5024414977948971,-0.5176493874660704,-0.5853648724758332,-0.6097326940461183
46,-0.90735711162101,-0.8464841984550903,1.0691244803380453,-0.3263287636046114,-0.5195319954992219,-0.5201337590234831,-0.6047978629209916,-0.6248989401353242
47,-0.9158523915434662,-0.8599136798463873,1.0963358638487342,-0.3487235328327021,-0.536672950918769,-0.5223218531266034,-0.6243154815510771,-0.6400322307481285
48,-0.9236734813281267,-0.8729060869676972,1.1235524813030633,-0.37155296294514295,-0.5538474110136251,-0.5242231491893747,-0.6439047709852227,-0.6551315505008206
49,-0.9308128783659173,-0.885451750315981,1.1507652944457505,-0.39479858019381486,-0.5710369850766501,-0.5258470199706697,-0.6635531388100053,-0.6701966902368328
50,-0.937263135478688,-0.8975421234700068,1.177964634012846,-0.4184418716462107,-0.5882241001464834,-0.5272024898479999,-0.6832483713566587,-0.6852268313714363
51,-0.9430180459878206,-0.9091686642823937,1.2051422965321565,-0.4424645030793337,-0.6053902637572068,-0.5282990166150916,-0.7029781669980436,-0.7002224590062143
52,-0.9480704579490733,-0.920323548880196,1.2322890479576756,-0.46684720027274274,-0.6225174032403613,-0.5291460598578173,-0.7227303523783936,-0.7151843340078083
53,-0.9524147132047394,-0.9309997403034865,1.2593964257997734,-0.49157195454065594,-0.639587171456416,-0.5297530582258885,-0.7424942935051853,-0.7301130589170441
54,-0.9560456551838623,-0.9411906796577886,1.286456107750975,-0.5166201400423192,-0.6565804725653652,-0.530129140249556,-0.7622587527437817,-0.745010268147174
55,-0.9589584438671679,-0.9508908061338469,1.3134600882811251,-0.5419727689266752,-0.6734791468133516,-0.5302844636192567,-0.7820129039132973,-0.7598773613883063
56,-0.9611485220344038,-0.9600951793282776,1.34040053591773,-0.5676110636072365,-0.6902643771796038,-0.5302278413618096,-0.8017462268180648,-0.774716232927342
57,-0.9626126319239123,-0.9687985380060501,1.3672688207545916,-0.5935172651671641,-0.7069174081722004,-0.5299684227981589,-0.8214494807364655,-0.7895293606670046
58,-0.9633471073615416,-0.9769975900933097,1.394058202280878,-0.619672054828779,-0.7234192993891243,-0.5295161259669032,-0.8411122112961693,-0.8043191555216471
59,-0.9633490339137767,-0.9846888966454816,1.4207613357107938,-0.6460576973940706,-0.7397514202257908,-0.5288799203569403,-0.8607260799887179,-0.8190886291759001
60,-0.9626164462529774,-0.9918702358446221,1.4473706495327225,-0.672655991998538,-0.7558949463402465,-0.5280690483800172,-0.8802826102919101,-0.8338406044716611
61,-0.9611481276633205,-0.9985394882881051,1.4738794506491524,-0.6994492163851638,-0.7718306324649943,-0.527092857898356,-0.8997732688122172,-0.8485785606168699
62,-0.9589420442121686,-1.0046958174547622,1.5002805998411142,-0.7264193596308726,-0.7875401113091027,-0.5259596899460699,-0.9191906271612432,-0.8633061730819986
63,-0.9559982684737367,-1.0103387141138398,1.526567876417633,-0.753549243070232,-0.8030050321371522,-0.5246788292066165,-0.9385269112308521,-0.8780270945508604
64,-0.9523164500064523,-1.0154679672002513,1.5527346278323337,-0.7808212750016917,-0.8182065314964351,-0.5232586478217423,-0.9577758498891213,-0.8927448802518851
65,-0.9478969698580295,-1.0200849560716918,1.578774518743415,-0.8082189897135283,-0.8331264065309972,-0.5217080420931355,-0.9769316416106533,-0.9074642327146158
66,-0.9427413036746888,-1.0241910887605872,1.6046818343293099,-0.8357255171185464,-0.847746116530356,-0.5200345658705028,-0.9959876940469922,-0.9221889842841022
67,-0.9368505201763369,-1.0277886354465244,1.6304499851565861,-0.86332463404168,-0.8620477008424781,-0.5182474845591312,-1.0149396582383972,-0.9369235630044539
68,-0.9302267689315538,-1.0308799831075166,1.6560738105696038,-0.8910006609233789,-0.8760131862371953,-0.5163541645020571,-1.0337819920064164,-0.9516725955726759
