,v_0,v_1,y,Tau_inv_std,Bo_std,time
0,0.015447536734522593,0.26110121468965297,0,0.0051299313833595836,0.6259865512712673,150
1,0.3711311200205625,0.9709866090168255,1,0.0051299313833595836,0.6259865512712673,150
2,0.7330961095833286,0.6567369049416942,0,0.0051299313833595836,0.6259865512712673,150
3,0.4333349057062721,0.19508043182253343,1,0.0051299313833595836,0.6259865512712673,150
0,0.304652651594709,0.8422459297292453,0,0.0051299313833595836,0.6259865512712673,151
1,-0.6537081704108869,0.24125017659205494,0,0.0051299313833595836,0.6259865512712673,151
2,-0.786746648687398,-0.6291240776687912,1,0.0051299313833595836,0.6259865512712673,151
3,-0.5197871043749822,-0.03886079732171388,1,0.0051299313833595836,0.6259865512712673,151
0,-0.37276098279412406,0.11800070731604051,1,0.0051299313833595836,0.6259865512712673,152
1,-0.4751293492401816,-0.6250634111588098,1,0.0051299313833595836,0.6259865512712673,152
2,-0.028174465946365856,0.6365946584493898,1,0.0051299313833595836,0.6259865512712673,152
3,0.6451644699250716,0.5692192503951485,0,0.0051299313833595836,0.6259865512712673,152
0,0.5948041293681516,0.17044114461369642,0,0.0051299313833595836,0.6259865512712673,153
1,-0.47993990669480113,-0.48206713965933656,1,0.0051299313833595836,0.6259865512712673,153
2,0.43306356870817386,0.2809179724134716,1,0.0051299313833595836,0.6259865512712673,153
3,-0.502052000334412,-0.09251552077625247,1,0.0051299313833595836,0.6259865512712673,153
0,-0.8074613183396846,-0.6899865300885155,1,0.0051299313833595836,0.6259865512712673,154
1,0.1593406962183006,0.10243346636504036,0,0.0051299313833595836,0.6259865512712673,154
2,0.48839429762063635,0.6420943573187572,0,0.0051299313833595836,0.6259865512712673,154
3,0.3326844474076318,0.4320442359050569,1,0.0051299313833595836,0.6259865512712673,154
0,0.5776927503663594,-0.6072157733373225,1,0.0051299313833595836,0.6259865512712673,155
1,-0.6895385358479529,-0.05384810547628516,0,0.0051299313833595836,0.6259865512712673,155
2,-0.43517097787911685,0.32809464100284313,0,0.0051299313833595836,0.6259865512712673,155
3,-0.6731822069466327,0.8490494128048025,0,0.0051299313833595836,0.6259865512712673,155
0,0.6667856496014903,-0.35313085019307566,0,0.0051299313833595836,0.6259865512712673,156
1,-0.2403324143000094,-0.38686951259737845,0,0.0051299313833595836,0.6259865512712673,156
2,0.1332146972910817,0.39727251446262324,1,0.0051299313833595836,0.6259865512712673,156
3,-0.6451126599052714,-0.21622371694891251,0,0.0051299313833595836,0.6259865512712673,156
0,0.881347211368325,-0.29758356495772764,1,0.0051299313833595836,0.6259865512712673,157
1,-0.2311194613221068,-0.8096287989062951,1,0.0051299313833595836,0.6259865512712673,157
2,-0.5459207323735129,0.2323885052257153,1,0.0051299313833595836,0.6259865512712673,157
