,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,y,Tau_inv_std,Bo_std,time
0,0.542641286533492,-0.958496101281197,0.26729646985255084,0.4976077650772237,-0.0029859753948191514,-0.5504067089383047,-0.603874270480752,0.5210614243979175,1,0.02573912524224449,1.2296190073402513,10
1,-0.6617783268749291,-0.8233203716519795,0.3707196367355945,0.9067866923898731,-0.9921034673441711,0.024384526771553228,0.625241923304227,0.2250521336587763,1,0.02573912524224449,1.2296190073402513,10
2,0.4435106348635991,-0.4162478636587337,0.8355482450258869,0.42915156679538113,0.08508873602252254,-0.7156599047969461,-0.2533184798970616,0.34826723013269056,1,0.02573912524224449,1.2296190073402513,10
3,-0.11633365115400784,-0.13197201333341257,0.23553395693863433,0.026276485108781777,0.30079436386293446,0.20207790680908877,0.6104463936654929,0.043294304787268256,1,0.02573912524224449,1.2296190073402513,10
4,0.8172977616173365,-0.36152782202290945,-0.8190813014581853,-0.3985998867275933,-0.7720312762729005,0.6573626526153533,-0.9062073612215005,0.2525742966227851,0,0.02573912524224449,1.2296190073402513,10
5,0.09517231183848707,0.6385739913401374,-0.6021049206423754,0.7137006049154664,-0.2966947211358242,0.5092953830597144,-0.4080765862406426,0.7678729591223725,0,0.02573912524224449,1.2296190073402513,10
6,-0.3489767243355024,-0.669968204561703,-0.21494151210682544,-0.8130792508826994,0.6422113156738569,-0.6976959607148723,-0.23177110261560085,0.8885214244776023,1,0.02573912524224449,1.2296190073402513,10
7,0.9752509498037445,-0.08739090581043185,0.6522456876854796,-0.4972517315858813,0.19474329646176858,0.8056635206632548,0.06911589760363013,0.18040272597084583,0,0.02573912524224449,1.2296190073402513,10
8,-0.9214364655492253,-0.28563648273092745,-0.8407738196880716,-0.38908016331436346,-0.338561376035736,0.5476605924211917,-0.9200815826200455,-0.14101564313672332,1,0.02573912524224449,1.2296190073402513,10
9,-0.3701462563146234,0.27298228613508924,-0.30730569983993394,-0.9138052875900111,0.759830349035832,0.5264811742873621,0.7561932854497166,-0.16498171232146608,0,0.02573912524224449,1.2296190073402513,10
0,-0.6394606222464616,-0.9610495170247508,-0.07356294700331079,0.44986785838429566,-0.15959279082454514,-0.0291458036644352,-0.9744383708187827,-0.025256785360256773,1,0.02573912524224449,1.2296190073402513,11
1,0.8836133046867323,0.7015901787535574,0.4599289404416371,-0.7825278562620501,0.7878083405701624,0.7143084941456592,-0.6698267648095457,0.26466802764699215,1,0.02573912524224449,1.2296190073402513,11
2,-0.9590327744175347,-0.7665254624399676,-0.3672653767749192,-0.6841753866501261,0.5179591763210107,0.636550715728287,-0.31075101808156513,-0.36240240627513276,0,0.02573912524224449,1.2296190073402513,11
3,-0.7766775360106792,-0.8320937133558859,0.4254518713776858,0.19908679251531103,-0.8886526408298432,-0.04040543668113927,-0.1966470387386956,0.695957995093949,0,0.02573912524224449,1.2296190073402513,11
4,0.4356983586797576,0.20412810249764912,0.1047676430109945,0.898204795493275,0.9733466607169372,-0.3238919007009444,-0.5202506418950532,0.5928715079758924,0,0.02573912524224449,1.2296190073402513,11
